",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-1,11.9,31.0,0,,,N,50,13:49,18.1,74,, ,Calm,1012.8,30.4,23,,WNW,26,1009.5
,2020-03-2,13.1,31.1,0,,,WSW,41,13:32,20.0,45,, ,Calm,1010.2,29.1,23,,W,24,1010.3
,2020-03-3,14.6,19.0,0,,,E,31,13:24,15.9,75,7,ENE,17,1018.8,17.6,69,8,NE,24,1018.6
,2020-03-4,14.5,19.0,12.8,,,NE,28,17:16,15.2,99,7,S,7,1018.7,17.9,95,8, ,Calm,1015.1
,2020-03-5,15.1,19.6,37.6,,,N,31,09:26,18.2,97,8,NNE,17,1009.8,17.7,99,8, ,Calm,1006.8
,2020-03-6,17.3,25.5,22.0,,,N,41,14:14,19.5,98,8,NW,17,1008.3,25.0,61,7,N,30,1009.0
,2020-03-7,14.6,23.2,0.8,,,E,39,16:59,16.9,74,7,SE,4,1019.2,21.6,49,8,ESE,6,1018.3
,2020-03-8,13.0,20.8,0,,,SSE,46,16:48,13.9,69,8,SSE,17,1021.0,19.7,52,8,N,11,1017.6
,2020-03-9,10.9,21.1,4.0,,,E,37,19:42,14.2,80,8,ESE,7,1021.2,19.5,48,7,E,15,1019.2
,2020-03-10,8.6,23.7,0,,,E,35,18:57,13.6,75,,ESE,9,1021.9,21.5,42,7,NE,7,1018.7
,2020-03-11,10.6,24.1,0,,,E,35,16:06,15.0,79,,SE,7,1023.4,23.6,42,3,NE,11,1021.3
,2020-03-12,8.9,24.3,0,,,ENE,28,15:38,13.9,80,1,SE,7,1025.6,21.8,44,6,ENE,11,1022.1
,2020-03-13,8.9,25.0,0,,,WNW,41,15:56,13.8,83,,SSW,6,1020.0,23.9,44,,NNW,22,1014.5
,2020-03-14,8.6,18.2,5.0,,,S,50,06:14,9.0,89,8,SSE,20,1017.1,16.5,51,8,SE,7,1016.6
,2020-03-15,4.3,19.6,1.8,,,E,37,15:38,9.9,66,,SSW,9,1022.5,17.8,45,5,ESE,17,1021.0
,2020-03-16,7.2,20.5,0,,,E,43,11:21,13.6,64,7,S,17,1026.3,20.1,50,,E,26,1025.0
,2020-03-17,7.1,22.9,0,,,N,26,16:58,12.6,76,5,SE,11,1028.3,21.8,43,,SSW,9,1025.2
,2020-03-18,7.0,25.2,0,,,N,39,14:41,12.7,80,,E,6,1026.1,24.3,40,,NNW,26,1021.7
,2020-03-19,10.6,28.1,0,,,NW,35,13:33,16.6,64,7, ,Calm,1023.6,27.2,36,2,N,17,1020.6
,2020-03-20,15.0,28.6,0,,,WNW,63,12:29,21.5,50,,NNW,30,1015.0,27.7,27,,NW,35,1012.1
,2020-03-21,7.3,24.3,0,,,N,30,15:16,13.8,65,,ESE,9,1020.4,22.9,43,,N,9,1018.4
,2020-03-22,7.6,25.4,0,,,NW,41,12:39,12.6,99,8, ,Calm,1019.0,25.1,30,,WNW,24,1016.6
,2020-03-23,11.8,21.5,0,,,E,39,18:43,13.5,60,8,SSE,17,1025.1,20.6,42,1,NNE,7,1022.4
,2020-03-24,8.7,23.0,0,,,ENE,26,19:54,14.5,75,7,ESE,6,1023.5,21.4,47,8,NNW,6,1019.7
,2020-03-25,12.9,24.9,0.2,,,E,44,16:02,15.5,91,7,N,4,1019.0,24.3,45,3,N,28,1016.4
,2020-03-26,9.7,20.9,2.0,,,ESE,37,12:41,11.5,65,,SSE,17,1026.4,19.1,45,2,SSE,20,1024.8
,2020-03-27,11.5,21.5,0,,,E,35,16:34,14.8,80,8,S,9,1026.9,19.5,54,4,E,13,1024.1
,2020-03-28,5.3,22.1,0,,,NE,37,15:52,11.1,90,3,SSE,13,1025.6,20.3,46,3,NNE,17,1021.7
,2020-03-29,11.1,25.0,0,,,W,39,20:03,17.0,76,8,SE,2,1019.7,22.5,50,8,NW,17,1015.5
,2020-03-30,15.2,23.7,13.2,,,NW,41,12:29,17.1,96,8,N,13,1014.2,22.7,59,3,NW,30,1011.8
,2020-03-31,13.4,23.6,0.4,,,NNW,26,12:13,17.1,92,1,N,7,1016.3,23.0,45,,N,13,1015.1
