data;cidades;pais;casos;mortes
26/02/2020;São Paulo;BRA;1;0
27/02/2020;São Paulo;BRA;1;0
28/02/2020;São Paulo;BRA;1;0
29/02/2020;São Paulo;BRA;2;0
01/03/2020;São Paulo;BRA;2;0
02/03/2020;São Paulo;BRA;2;0
03/03/2020;São Paulo;BRA;2;0
04/03/2020;São Paulo;BRA;3;0
05/03/2020;São Paulo;BRA;6;0
06/03/2020;São Paulo;BRA;10;0
07/03/2020;São Paulo;BRA;12;0
08/03/2020;São Paulo;BRA;15;0
09/03/2020;São Paulo;BRA;15;0
10/03/2020;São Paulo;BRA;18;0
11/03/2020;São Paulo;BRA;29;0
12/03/2020;São Paulo;BRA;44;0
13/03/2020;São Paulo;BRA;55;0
14/03/2020;São Paulo;BRA;62;0
15/03/2020;São Paulo;BRA;133;0
16/03/2020;São Paulo;BRA;145;0
17/03/2020;São Paulo;BRA;156;1
18/03/2020;São Paulo;BRA;214;4
19/03/2020;São Paulo;BRA;282;5
20/03/2020;São Paulo;BRA;358;9
21/03/2020;São Paulo;BRA;396;15
22/03/2020;São Paulo;BRA;442;22
23/03/2020;São Paulo;BRA;477;30
24/03/2020;São Paulo;BRA;484;36
25/03/2020;São Paulo;BRA;537;41
26/03/2020;São Paulo;BRA;565;50
27/03/2020;São Paulo;BRA;565;50
28/03/2020;São Paulo;BRA;565;50
29/03/2020;São Paulo;BRA;565;50
30/03/2020;São Paulo;BRA;593;100
31/03/2020;São Paulo;BRA;1.438;118
01/04/2020;São Paulo;BRA;1.503;141
02/04/2020;São Paulo;BRA;1.520;165
03/04/2020;São Paulo;BRA;2.321;180
04/04/2020;São Paulo;BRA;2.729;213
05/04/2020;São Paulo;BRA;3.612;219
06/04/2020;São Paulo;BRA;3.754;244
07/04/2020;São Paulo;BRA;4.503;297
08/04/2020;São Paulo;BRA;5.137;341
09/04/2020;São Paulo;BRA;5.832;386
10/04/2020;São Paulo;BRA;6.379;412
11/04/2020;São Paulo;BRA;6.585;422
12/04/2020;São Paulo;BRA;6.805;445
13/04/2020;São Paulo;BRA;6.831;456
14/04/2020;São Paulo;BRA;6.993;520
15/04/2020;São Paulo;BRA;8.024;563
16/04/2020;São Paulo;BRA;8.889;610
17/04/2020;São Paulo;BRA;9.357;743
18/04/2020;São Paulo;BRA;10.127;807
19/04/2020;São Paulo;BRA;10.388;847
20/04/2020;São Paulo;BRA;10.624;896
21/04/2020;São Paulo;BRA;11.265;919
22/04/2020;São Paulo;BRA;11.383;1.100
23/04/2020;São Paulo;BRA;11.025;1.124
24/04/2020;São Paulo;BRA;12.202;1.124
25/04/2020;São Paulo;BRA;14.279;1.153
26/04/2020;São Paulo;BRA;13.979;1.210
27/04/2020;São Paulo;BRA;14.104;1.272
28/04/2020;São Paulo;BRA;15.213;1.337
06/03/2020;Rio de Janeiro;BRA;1;0
07/03/2020;Rio de Janeiro;BRA;1;0
08/03/2020;Rio de Janeiro;BRA;2;0
09/03/2020;Rio de Janeiro;BRA;2;0
10/03/2020;Rio de Janeiro;BRA;2;0
11/03/2020;Rio de Janeiro;BRA;2;0
12/03/2020;Rio de Janeiro;BRA;13;0
13/03/2020;Rio de Janeiro;BRA;13;0
14/03/2020;Rio de Janeiro;BRA;13;0
15/03/2020;Rio de Janeiro;BRA;22;0
16/03/2020;Rio de Janeiro;BRA;23;0
17/03/2020;Rio de Janeiro;BRA;0;0
