Data;Casos
26/2/20;1
27/2/20;0
28/2/20;0
29/2/20;0
1/3/20;1
2/3/20;0
3/3/20;0
4/3/20;0
5/3/20;1
6/3/20;5
7/3/20;5
8/3/20;0
9/3/20;12
10/3/20;0
11/3/20;9
12/3/20;18
13/3/20;25
14/3/20;21
15/3/20;23
16/3/20;79
17/3/20;34
18/3/20;57
19/3/20;137
20/3/20;193
21/3/20;283
22/3/20;224
23/3/20;418
24/3/20;345
25/3/20;310
26/3/20;232
27/3/20;482
28/3/20;502
29/3/20;487
30/3/20;352
31/3/20;323
1/4/20;1138
2/4/20;1119
3/4/20;1074
4/4/20;1146
5/4/20;1222
6/4/20;852
7/4/20;926
8/4/20;1661
9/4/20;2210
10/4/20;1930
11/4/20;1781
12/4/20;1089
13/4/20;1442
14/4/20;1261
15/4/20;1832
16/4/20;3058
17/4/20;2105
18/4/20;3257
19/4/20;2917
20/4/20;2055
21/4/20;1927
22/4/20;2498
23/4/20;2678
24/4/20;3735
25/4/20;3503
26/4/20;5514
27/4/20;3379
28/4/20;4613
29/4/20;5385
30/4/20;6276
1/5/20;7218
2/5/20;6209
3/5/20;4970
4/5/20;4588
5/5/20;6633
6/5/20;6935
7/5/20;10503
8/5/20;9888
9/5/20;10222
10/5/20;10611
11/5/20;6760
12/5/20;5632
13/5/20;9258
14/5/20;11385
15/5/20;13944
16/5/20;15305
17/5/20;14919
18/5/20;7938
19/5/20;13140
20/5/20;17408
21/5/20;19951
22/5/20;18508
23/5/20;20803
24/5/20;16508
25/5/20;15813
26/5/20;11687
27/5/20;16324
28/5/20;20599
29/5/20;26417
30/5/20;26928
31/5/20;33274
1/6/20;16409
2/6/20;11598
3/6/20;28936
4/6/20;28633
5/6/20;30916
6/6/20;30830
7/6/20;27075
8/6/20;18921
9/6/20;15654
10/6/20;32091
11/6/20;32913
12/6/20;30412
13/6/20;25982
14/6/20;21704
15/6/20;17110
16/6/20;20647
17/6/20;34918
18/6/20;32188
19/6/20;22765
20/6/20;54771
21/6/20;34666
