Data;Taxa
26/2/20;24.7
27/2/20;27.5
28/2/20;26.6
29/2/20;31.4
1/3/20;42
2/3/20;27.7
3/3/20;29
4/3/20;30.2
5/3/20;29.7
6/3/20;28.5
7/3/20;31.8
8/3/20;41
9/3/20;29.2
10/3/20;29.7
11/3/20;28.3
12/3/20;30.1
13/3/20;30.1
14/3/20;35.7
15/3/20;42.6
16/3/20;32.1
17/3/20;32.8
18/3/20;36
19/3/20;39.3
20/3/20;40.5
21/3/20;52.1
22/3/20;62.2
23/3/20;52.4
24/3/20;53.8
25/3/20;53.8
26/3/20;53.1
27/3/20;51.4
28/3/20;53.9
29/3/20;59.9
30/3/20;49.2
31/3/20;48.5
1/4/20;46
2/4/20;48.5
3/4/20;47.4
4/4/20;50.1
5/4/20;56.8
6/4/20;47.4
7/4/20;45.8
8/4/20;45
9/4/20;44.3
10/4/20;54.1
11/4/20;48
12/4/20;54
13/4/20;46.1
14/4/20;46
15/4/20;45.7
16/4/20;42.8
17/4/20;43
18/4/20;46.6
19/4/20;54.6
20/4/20;45.4
21/4/20;52.3
22/4/20;43.2
23/4/20;44.2
24/4/20;42.3
25/4/20;46
26/4/20;53.1
27/4/20;44.1
28/4/20;43.4
29/4/20;42.3
30/4/20;41.2
1/5/20;49.7
2/5/20;44
3/5/20;50
4/5/20;43.1
5/5/20;42.5
6/5/20;47.4
7/5/20;43.3
8/5/20;40.8
9/5/20;43.1
10/5/20;47
11/5/20;43.3
12/5/20;43.7
13/5/20;43.4
14/5/20;43
15/5/20;42.5
16/5/20;45.8
17/5/20;52.2
18/5/20;42.7
19/5/20;42.4
20/5/20;41.7
21/5/20;42.2
22/5/20;41.2
23/5/20;45.3
24/5/20;53.2
25/5/20;43.9
26/5/20;41.6
27/5/20;41.1
28/5/20;41.2
29/5/20;39.2
30/5/20;42.6
31/5/20;49.8
1/6/20;40.7
2/6/20;40.5
3/6/20;39.5
4/6/20;39.1
5/6/20;39.2
6/6/20;40.6
7/6/20;48.7
8/6/20;38.2
9/6/20;38
10/6/20;39.3
11/6/20;43.7
12/6/20;36.8
13/6/20;40.1
14/6/20;48.9
15/6/20;39
16/6/20;39.1
17/6/20;37.3
18/6/20;38.5
19/6/20;34.7
20/6/20;39.1
21/6/20;47.3
